iter	Logloss
0	0.6637632373
1	0.6455957395
2	0.6392828951
3	0.6286909333
4	0.62317101
5	0.6154229497
6	0.6104344408
7	0.6082350058
8	0.6073540325
9	0.6048555907
10	0.6040287235
11	0.6033520392
12	0.6024005579
13	0.6020477924
14	0.6017339004
15	0.6016303345
16	0.6004747691
17	0.5992643071
18	0.5990768633
19	0.5990751597
20	0.5974796384
21	0.5972377254
22	0.5963125091
23	0.5958499348
24	0.5958111759
25	0.5949992677
26	0.594536222
27	0.5940466785
28	0.5933558908
29	0.5933356797
30	0.5930867431
31	0.5927536597
32	0.5925092323
33	0.5922875171
34	0.5920124555
35	0.5918153453
36	0.5915335281
37	0.5913191613
38	0.5910246221
39	0.5907037806
40	0.5902060998
41	0.5897871173
42	0.5895782677
43	0.5893127554
44	0.5893104894
45	0.5891493558
46	0.5891018188
47	0.5888912457
48	0.5888573028
49	0.5886656941
50	0.5886640058
51	0.5886392007
52	0.5883149202
53	0.5880874685
54	0.5880483561
55	0.5877344427
56	0.5874036114
57	0.5873401757
58	0.5869897629
59	0.5867492658
60	0.5866290193
61	0.5861435623
62	0.585611668
63	0.5848365684
64	0.5844987585
65	0.5840853712
66	0.5836827855
67	0.5828753773
68	0.5824628057
69	0.5820000307
70	0.5814977241
71	0.5808979004
72	0.5801744335
73	0.5797077524
74	0.5791884874
75	0.5783678168
76	0.5779467966
77	0.577430505
78	0.5770089483
79	0.5764464791
80	0.5760340225
81	0.5757166583
82	0.5752125707
83	0.5749499033
84	0.5741899942
85	0.5738635018
86	0.5732852512
87	0.5726690963
88	0.5720351236
89	0.5717005696
90	0.5712766475
91	0.5710000987
92	0.5706077891
93	0.5702232157
94	0.5696816678
95	0.5693949827
96	0.5690396674
97	0.5686674776
98	0.5682501044
99	0.5677622126
100	0.5673759967
101	0.5671184799
102	0.5668232503
103	0.5665221546
104	0.5660597369
105	0.5657905319
106	0.5653649983
107	0.5650544538
108	0.5647742236
109	0.5645033995
110	0.564239722
111	0.5640286159
112	0.5637049104
113	0.563382536
114	0.5630823628
115	0.562778319
116	0.56243673
117	0.5621661302
118	0.5618367871
119	0.5614132026
120	0.561128787
121	0.5608645948
122	0.5606236799
123	0.5603195582
124	0.5600163386
125	0.5596940159
126	0.559340909
127	0.5589610708
128	0.5587016313
129	0.5584372954
130	0.5580750097
131	0.5577242662
132	0.5574944009
133	0.5572842024
134	0.55707271
135	0.5567373645
